"filename", "language", "JSON", "HTML", "Markdown", "CSS", "JavaScript JSX", "JavaScript", "XML", "comment", "blank", "total"
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 0, 2, 39
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\package-lock.json", "JSON", 4603, 0, 0, 0, 0, 0, 0, 0, 1, 4604
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\src\App.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 75, 0, 0, 0, 8, 83
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\src\index.css", "CSS", 0, 0, 0, 61, 0, 0, 0, 0, 8, 69
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Hackathons\Hackify 2.0\mobile-sensor-testing\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 1, 2, 8
"Total", "-", 4632, 13, 1, 98, 84, 42, 2, 1, 31, 4904
